"id","id_sensor","key","date","value"
355,2382,"SO2",2022-12-08 17:00:00,10.2
355,2382,"SO2",2022-12-08 16:00:00,9.9
355,2382,"SO2",2022-12-08 15:00:00,9.5
355,2382,"SO2",2022-12-08 14:00:00,8.5
355,2382,"SO2",2022-12-08 13:00:00,7.2
355,2382,"SO2",2022-12-08 12:00:00,9
355,2382,"SO2",2022-12-08 11:00:00,8.7
355,2382,"SO2",2022-12-08 10:00:00,10.3
355,2382,"SO2",2022-12-08 09:00:00,8.9
355,2382,"SO2",2022-12-08 08:00:00,8.2
355,2382,"SO2",2022-12-08 07:00:00,8.7
355,2382,"SO2",2022-12-08 06:00:00,13.3
355,2382,"SO2",2022-12-08 05:00:00,9.3
355,2382,"SO2",2022-12-08 04:00:00,12.6
355,2382,"SO2",2022-12-08 03:00:00,27.7
355,2382,"SO2",2022-12-08 02:00:00,17.9
355,2382,"SO2",2022-12-08 01:00:00,3.9
355,2382,"SO2",2022-12-08 00:00:00,3.6
355,2382,"SO2",2022-12-07 23:00:00,5.5
10018,26926,"PM10",2022-12-10 20:00:00,39.0249
10018,26926,"PM10",2022-12-10 19:00:00,49.7764
10018,26926,"PM10",2022-12-10 18:00:00,49.0993
10018,26926,"PM10",2022-12-10 17:00:00,47.7924
10018,26926,"PM10",2022-12-10 16:00:00,53.7258
10018,26926,"PM10",2022-12-10 15:00:00,50.9119
10018,26926,"PM10",2022-12-10 14:00:00,49.4882
10018,26926,"PM10",2022-12-10 13:00:00,37.3809
10018,26926,"PM10",2022-12-10 12:00:00,35.1491
10018,26926,"PM10",2022-12-10 11:00:00,45.9984
10018,26926,"PM10",2022-12-10 10:00:00,44.8604
10018,26926,"PM10",2022-12-10 09:00:00,44.537
10018,26926,"PM10",2022-12-10 08:00:00,45.3607
10018,26926,"PM10",2022-12-10 07:00:00,39.7121
10018,26926,"PM10",2022-12-10 06:00:00,40.0105
10018,26926,"PM10",2022-12-10 05:00:00,33.3106
10018,26926,"PM10",2022-12-10 04:00:00,35.2608
10018,26926,"PM10",2022-12-10 03:00:00,38.7619
10018,26926,"PM10",2022-12-10 02:00:00,38.759
10018,26926,"PM10",2022-12-10 01:00:00,41.3278
10018,26926,"PM10",2022-12-10 00:00:00,48.3678
10018,26926,"PM10",2022-12-09 23:00:00,47.0512
10018,26926,"PM10",2022-12-09 22:00:00,62.1729
10018,26926,"PM10",2022-12-09 21:00:00,66.4326
10018,26926,"PM10",2022-12-09 20:00:00,78.4926
10018,26926,"PM10",2022-12-09 19:00:00,88.0056
10018,26926,"PM10",2022-12-09 18:00:00,69.5065
10018,26926,"PM10",2022-12-09 17:00:00,69.2318
10018,26926,"PM10",2022-12-09 16:00:00,50.8277
10018,26926,"PM10",2022-12-09 15:00:00,46.2418
10018,26926,"PM10",2022-12-09 14:00:00,37.7831
10018,26926,"PM10",2022-12-09 13:00:00,31.5413
10018,26926,"PM10",2022-12-09 12:00:00,27.8908
10018,26926,"PM10",2022-12-09 11:00:00,22.9271
10018,26926,"PM10",2022-12-09 10:00:00,28.3073
10018,26926,"PM10",2022-12-09 09:00:00,32.1428
10018,26926,"PM10",2022-12-09 08:00:00,33.2359
10018,26926,"PM10",2022-12-09 07:00:00,22.2936
10018,26926,"PM10",2022-12-09 06:00:00,22.2356
10018,26926,"PM10",2022-12-09 05:00:00,22.1004
10018,26926,"PM10",2022-12-09 04:00:00,20.1093
10018,26926,"PM10",2022-12-09 03:00:00,21.5453
10018,26926,"PM10",2022-12-09 02:00:00,18.3222
10018,26926,"PM10",2022-12-09 01:00:00,20.4251
10018,26926,"PM10",2022-12-09 00:00:00,25.7727
10018,26926,"PM10",2022-12-08 23:00:00,25.4717
10018,26926,"PM10",2022-12-08 22:00:00,32.6442
10018,26926,"PM10",2022-12-08 21:00:00,25.3419
10018,26926,"PM10",2022-12-08 20:00:00,23.7803
10018,26926,"PM10",2022-12-08 19:00:00,22.0038
10018,26926,"PM10",2022-12-08 18:00:00,26.6397
10018,26926,"PM10",2022-12-08 17:00:00,19.3064
10018,26926,"PM10",2022-12-08 16:00:00,21.5619
10018,26926,"PM10",2022-12-08 15:00:00,21.4862
10018,26926,"PM10",2022-12-08 14:00:00,15.1334
10018,26926,"PM10",2022-12-08 13:00:00,16.7096
10018,26926,"PM10",2022-12-08 12:00:00,13.0184
10018,26926,"PM10",2022-12-08 11:00:00,14.4391
10018,26926,"PM10",2022-12-08 10:00:00,18.6755
10018,26926,"PM10",2022-12-08 09:00:00,17.6703
10018,26926,"PM10",2022-12-08 08:00:00,14.2781
10018,26926,"PM10",2022-12-08 07:00:00,16.079
10018,26926,"PM10",2022-12-08 06:00:00,12.1587
10018,26926,"PM10",2022-12-08 05:00:00,11.3515
10018,26926,"PM10",2022-12-08 04:00:00,12.89
10018,26926,"PM10",2022-12-08 03:00:00,10.2545
10018,26926,"PM10",2022-12-08 02:00:00,10.3157
10018,26926,"PM10",2022-12-08 01:00:00,11.6901
10018,26926,"PM10",2022-12-08 00:00:00,12.3673
10018,26926,"PM10",2022-12-07 23:00:00,15.2126
659,14448,"O3",2022-12-10 20:00:00,28.3139
659,14448,"O3",2022-12-10 19:00:00,30.9456
659,14448,"O3",2022-12-10 18:00:00,34.3706
659,14448,"O3",2022-12-10 17:00:00,34.5128
659,14448,"O3",2022-12-10 16:00:00,34.3111
659,14448,"O3",2022-12-10 15:00:00,33.1022
659,14448,"O3",2022-12-10 14:00:00,34.1833
659,14448,"O3",2022-12-10 13:00:00,34.0183
659,14448,"O3",2022-12-10 12:00:00,34.0967
659,14448,"O3",2022-12-10 11:00:00,32.0633
659,14448,"O3",2022-12-10 10:00:00,25.1628
659,14448,"O3",2022-12-10 09:00:00,22.4022
