"date","id","SO2","NO2","O3","PM10","CO","PM2.5","C6H6"
2022-11-07 20:00:00,736,2.68837,12.9903,32.915,12.7516,326.769,11.4868,0.91872
2022-11-07 19:00:00,736,2.47476,18.2341,27.419,14.8443,342.799,13.3626,1.09692
2022-11-07 18:00:00,736,2.59674,20.4867,27.6872,15.3545,352.154,13.4201,1.19433
2022-11-07 17:00:00,736,2.6506,23.7414,24.6233,16.031,365.177,13.9902,1.48909
2022-11-07 16:00:00,736,2.8155,29.8481,17.8228,21.5051,389.619,18.0078,1.4409
2022-11-07 15:00:00,736,2.68653,29.6961,18.5101,23.448,377.399,17.5698,1.30626
2022-11-07 14:00:00,736,2.3629,27.409,20.4208,21.0058,398.084,16.5603,1.18737
2022-11-07 13:00:00,736,2.56102,18.351,29.7233,20.4563,348.219,16.8754,1.07037
2022-11-07 12:00:00,736,2.6896,15.0659,32.7395,22.2248,346.558,18.3642,1.03104
2022-11-07 11:00:00,736,2.54805,12.8756,32.2403,22.6023,342.769,19.9025,1.18467
2022-11-07 10:00:00,736,2.93712,13.2204,29.4042,26.8946,341.047,23.2935,1.35312
2022-11-07 09:00:00,736,2.75721,15.8992,24.8094,28.6925,342.6,24.2679,1.38753
2022-11-07 08:00:00,736,2.26058,19.6178,21.9373,27.3901,341.599,24.6152,1.29366
2022-11-07 07:00:00,736,2.53664,20.5362,20.8382,26.8371,349.565,24.6034,1.39536
2022-11-07 06:00:00,736,2.71997,22.8375,20.8918,24.4504,346.755,23.2453,1.20834
2022-11-07 05:00:00,736,2.27625,26.715,18.711,20.2929,324.826,19.0453,1.12005
2022-11-07 04:00:00,736,2.32779,22.3832,21.3714,19.665,300.09,17.8853,1.06812
2022-11-07 03:00:00,736,2.41075,14.1818,26.3629,18.9937,288.59,17.7071,1.19724
2022-11-07 02:00:00,736,2.17637,13.7088,27.2588,18.6227,286.84,17.4017,1.0206
2022-11-07 01:00:00,736,2.29283,14.7747,27.8708,18.3189,287.988,17.4971,1.00791
2022-11-07 00:00:00,736,2.23222,14.2447,33.8174,17.7091,273.143,16.6762,0.77652
2022-11-06 23:00:00,736,2.53512,8.13851,43.4166,16.5296,260.039,15.3823,0.79839
2022-11-06 22:00:00,736,2.49066,16.5905,34.0373,19.7947,294.186,18.4938,1.03329
2022-11-06 21:00:00,736,2.67263,13.62,37.7449,19.6762,296.523,18.3394,0.94995
2022-11-06 20:00:00,736,2.35705,12.4616,40.0323,19.29,308.875,17.7745,1.08936
2022-11-06 19:00:00,736,2.49383,12.6103,39.991,18.8087,312.133,17.3389,1.13031
2022-11-06 18:00:00,736,2.49414,16.7542,35.9286,20.0317,337.045,18.2606,1.41408
2022-11-06 17:00:00,736,2.55894,15.6409,39.0138,18.9935,331.909,17.2614,1.0809
