DatetimeBegin UTC+01;date_beg_UTC_00;Concentration;AirQualityStationEoICode;AirPollutant;AveragingTime;;;DatetimeEnd
13.01.2022 05:00;13.01.2022 04:00;38.63;PL0012A;PM10;hour;;;2022-01-13 06:00:00 +01:00
13.01.2022 06:00;13.01.2022 05:00;34.87;PL0012A;PM10;hour;;;2022-01-13 07:00:00 +01:00
13.01.2022 07:00;13.01.2022 06:00;34.91;PL0012A;PM10;hour;;;2022-01-13 08:00:00 +01:00
13.01.2022 08:00;13.01.2022 07:00;34.40;PL0012A;PM10;hour;;;2022-01-13 09:00:00 +01:00
13.01.2022 09:00;13.01.2022 08:00;27.98;PL0012A;PM10;hour;;;2022-01-13 10:00:00 +01:00
13.01.2022 10:00;13.01.2022 09:00;33.60;PL0012A;PM10;hour;;;2022-01-13 11:00:00 +01:00
13.01.2022 11:00;13.01.2022 10:00;40.77;PL0012A;PM10;hour;;;2022-01-13 12:00:00 +01:00
13.01.2022 12:00;13.01.2022 11:00;49.30;PL0012A;PM10;hour;;;2022-01-13 13:00:00 +01:00
13.01.2022 13:00;13.01.2022 12:00;39.12;PL0012A;PM10;hour;;;2022-01-13 14:00:00 +01:00
13.01.2022 14:00;13.01.2022 13:00;30.03;PL0012A;PM10;hour;;;2022-01-13 15:00:00 +01:00
13.01.2022 15:00;13.01.2022 14:00;27.93;PL0012A;PM10;hour;;;2022-01-13 16:00:00 +01:00
13.01.2022 16:00;13.01.2022 15:00;31.03;PL0012A;PM10;hour;;;2022-01-13 17:00:00 +01:00
13.01.2022 17:00;13.01.2022 16:00;29.16;PL0012A;PM10;hour;;;2022-01-13 18:00:00 +01:00
13.01.2022 18:00;13.01.2022 17:00;33.99;PL0012A;PM10;hour;;;2022-01-13 19:00:00 +01:00
13.01.2022 19:00;13.01.2022 18:00;30.99;PL0012A;PM10;hour;;;2022-01-13 20:00:00 +01:00
13.01.2022 20:00;13.01.2022 19:00;27.14;PL0012A;PM10;hour;;;2022-01-13 21:00:00 +01:00
13.01.2022 21:00;13.01.2022 20:00;28.43;PL0012A;PM10;hour;;;2022-01-13 22:00:00 +01:00
