Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
PL,PL.CIEP.AQ,NET_PL_MP_AQ,STA_PL0501A,PL0501A,SPO_PL0501A_5_001,SPP_PL0501A_5_001,SAM_PL0501A_5_001,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,24.6182000000,µg/m3,2022-01-02 14:00:00 +01:00,2022-01-02 15:00:00 +01:00,1,3
PL,PL.CIEP.AQ,NET_PL_MP_AQ,STA_PL0501A,PL0501A,SPO_PL0501A_5_001,SPP_PL0501A_5_001,SAM_PL0501A_5_001,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,26.4449000000,µg/m3,2022-01-02 15:00:00 +01:00,2022-01-02 16:00:00 +01:00,1,3
PL,PL.CIEP.AQ,NET_PL_MP_AQ,STA_PL0501A,PL0501A,SPO_PL0501A_5_001,SPP_PL0501A_5_001,SAM_PL0501A_5_001,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,30.3926000000,µg/m3,2022-01-02 16:00:00 +01:00,2022-01-02 17:00:00 +01:00,1,3
PL,PL.CIEP.AQ,NET_PL_MP_AQ,STA_PL0501A,PL0501A,SPO_PL0501A_5_001,SPP_PL0501A_5_001,SAM_PL0501A_5_001,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,38.4104000000,µg/m3,2022-01-02 17:00:00 +01:00,2022-01-02 18:00:00 +01:00,1,3
PL,PL.CIEP.AQ,NET_PL_MP_AQ,STA_PL0501A,PL0501A,SPO_PL0501A_5_001,SPP_PL0501A_5_001,SAM_PL0501A_5_001,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,34.2778000000,µg/m3,2022-01-02 18:00:00 +01:00,2022-01-02 19:00:00 +01:00,1,3
PL,PL.CIEP.AQ,NET_PL_MP_AQ,STA_PL0501A,PL0501A,SPO_PL0501A_5_001,SPP_PL0501A_5_001,SAM_PL0501A_5_001,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,32.2743000000,µg/m3,2022-01-02 19:00:00 +01:00,2022-01-02 20:00:00 +01:00,1,3
PL,PL.CIEP.AQ,NET_PL_MP_AQ,STA_PL0501A,PL0501A,SPO_PL0501A_5_001,SPP_PL0501A_5_001,SAM_PL0501A_5_001,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,37.6991000000,µg/m3,2022-01-02 20:00:00 +01:00,2022-01-02 21:00:00 +01:00,1,3
PL,PL.CIEP.AQ,NET_PL_MP_AQ,STA_PL0501A,PL0501A,SPO_PL0501A_5_001,SPP_PL0501A_5_001,SAM_PL0501A_5_001,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,9.9351700000,µg/m3,2022-01-02 21:00:00 +01:00,2022-01-02 22:00:00 +01:00,1,3
PL,PL.CIEP.AQ,NET_PL_MP_AQ,STA_PL0501A,PL0501A,SPO_PL0501A_5_001,SPP_PL0501A_5_001,SAM_PL0501A_5_001,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,35.5482000000,µg/m3,2022-01-02 22:00:00 +01:00,2022-01-02 23:00:00 +01:00,1,3
PL,PL.CIEP.AQ,NET_PL_MP_AQ,STA_PL0501A,PL0501A,SPO_PL0501A_5_001,SPP_PL0501A_5_001,SAM_PL0501A_5_001,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,27.1201000000,µg/m3,2022-01-02 23:00:00 +01:00,2022-01-03 00:00:00 +01:00,1,3
